premise	hypothesis	label
ماری دومدیسی برای جلوگیری از قدرت اشراف، فرمان تشکیل اتاژنرو را صادر کرد، اما اختلاف میان اشراف که خواهان لغو مالیات «پولت» بودند و بورژواهایی که خواستار حذف مواجب اشراف شدند، مانع تشکیل مجلس اتاژنرو شد.	هدف از تشکیل اتاژنرو به فرمان ماری دومدیسی جلوگیری از قدرت اشراف بود.	e
ماری دومدیسی برای جلوگیری از قدرت اشراف، فرمان تشکیل اتاژنرو را صادر کرد، اما اختلاف میان اشراف که خواهان لغو مالیات «پولت» بودند و بورژواهایی که خواستار حذف مواجب اشراف شدند، مانع تشکیل مجلس اتاژنرو شد.	به علت جلوگیری از قدرت طبقه بورژوا ماری دومدیسی دستور به تشکیل اتاژنرو را داد.	c
ماری دومدیسی برای جلوگیری از قدرت اشراف، فرمان تشکیل اتاژنرو را صادر کرد، اما اختلاف میان اشراف که خواهان لغو مالیات «پولت» بودند و بورژواهایی که خواستار حذف مواجب اشراف شدند، مانع تشکیل مجلس اتاژنرو شد.	تا رسیدن پادشاه به سن قانونی، مادرش ملکه کاترین دومدیسی با عنوان نایب السلطنه حکومت کرد. 	n
حقوق خصوصی: در حقوق خصوصی، قواعد و ضوابط حاکم بر روابط افراد با یکدیگر مورد بحث است؛ همچون حقوق مدنی، حقوق، تجارت، حقوق کار و حقوق بین الملل خصوصی.	حقوق تجارت و حقوق کار جزء حقوق خصوصی محسوب می شوند.	e
حقوق خصوصی: در حقوق خصوصی، قواعد و ضوابط حاکم بر روابط افراد با یکدیگر مورد بحث است؛ همچون حقوق مدنی، حقوق، تجارت، حقوق کار و حقوق بین الملل خصوصی.	حقوق خصوصی شامل زیر مجموعه های حقوق اداری و حقوق جزا می باشد. 	c
حقوق خصوصی: در حقوق خصوصی، قواعد و ضوابط حاکم بر روابط افراد با یکدیگر مورد بحث است؛ همچون حقوق مدنی، حقوق، تجارت، حقوق کار و حقوق بین الملل خصوصی.	حقوق از نظر داخلی به دو دسته حقوق عمومی و حقوق خصوصی تقسیم می شود.	n
نیمه اول قرن هجدهم، دوره وفاداری نویسندگان و فلاسفه فرانسوی به سنت ها بود. این فلاسفه بر این امر پافشاری می کردند که ریشه تمام ناهنجاری های فرانسه، ناشی از دورشدن جامعه از علائق سنتی است نماینده این طرز فکر منتسکیو، فیلسوف اشراف مسلک بود.	نماینده طرز فکری که ریشه تمام ناهنجاری‌های فرانسه را ناشی از دور شدن جامعه از علائق سنتی می دانست، منتسکیو بود.	e
نیمه اول قرن هجدهم، دوره وفاداری نویسندگان و فلاسفه فرانسوی به سنت ها بود. این فلاسفه بر این امر پافشاری می کردند که ریشه تمام ناهنجاری های فرانسه، ناشی از دورشدن جامعه از علائق سنتی است نماینده این طرز فکر منتسکیو، فیلسوف اشراف مسلک بود.	ماکیاولی نماینده اندیشه ای بود که علت تمام ناهنجاری ها فرانسه را دور شدن جامعه از علایق سنتی می دانست.	c
نیمه اول قرن هجدهم، دوره وفاداری نویسندگان و فلاسفه فرانسوی به سنت ها بود. این فلاسفه بر این امر پافشاری می کردند که ریشه تمام ناهنجاری های فرانسه، ناشی از دورشدن جامعه از علائق سنتی است نماینده این طرز فکر منتسکیو، فیلسوف اشراف مسلک بود.	بارون دو مونتسکیو یکی از متفکران سیاسی فرانسه در عصر روشنگری که در بوردو از شهرهای فرانسه زاده شد.	n
دیوان عالی ایالات متحده آمریکا عالی‌ترین نهاد قضایی در ایالات متحده آمریکا و مرجع تفسیر قانون اساسی ایالات متحده آمریکا است.	عالی‌ترین نهاد قضایی در آمریکا، دیوان عالی ایالات متحده آمریکا است.	e
دیوان عالی ایالات متحده آمریکا عالی‌ترین نهاد قضایی در ایالات متحده آمریکا و مرجع تفسیر قانون اساسی ایالات متحده آمریکا است.	تفسیر قانون اساسی آمریکا بر عهده دادگاه استیناف فدرال می‌باشد.	c
دیوان عالی ایالات متحده آمریکا عالی‌ترین نهاد قضایی در ایالات متحده آمریکا و مرجع تفسیر قانون اساسی ایالات متحده آمریکا است.	دیوان عالی ایالات متحده آمریکا متشکل از ۹ قاضی می باشد.	n
پیمان صلح «أکسبورگ» در سال ۱۵۵۵میلادی میان امیران شاهزاده نشین ها به امضاء رسید و مدت ۵۰ سال دوام آورد. برطبق این پیمان، موافقت شده بود که اهالی هر شاهزاده نشین تابع دین فرمانروای خود باشند.	بر اساس پیمان اکسبورگ در سال ۱۵۵۵م موافقت شد اهالی هر شاهزاده نشین تابع دین فرمانروای خود باشد.	e
پیمان صلح «أکسبورگ» در سال ۱۵۵۵میلادی میان امیران شاهزاده نشین ها به امضاء رسید و مدت ۵۰ سال دوام آورد. برطبق این پیمان، موافقت شده بود که اهالی هر شاهزاده نشین تابع دین فرمانروای خود باشند.	پیمانی که بین شاهزاده نشین‌ها در سال ۱۵۵۵ میلادی امضا شد تا مردمان هر شاهزاده نشین پیرو دین فرمانروای خود باشند، لوزان بود.	c
پیمان صلح «أکسبورگ» در سال ۱۵۵۵میلادی میان امیران شاهزاده نشین ها به امضاء رسید و مدت ۵۰ سال دوام آورد. برطبق این پیمان، موافقت شده بود که اهالی هر شاهزاده نشین تابع دین فرمانروای خود باشند.	جنگ نه ساله (۱۶۸۸–۱۶۹۷ میلادی) - که معمولاً جنگ جانشینی پالاتین، جنگ اتحاد بزرگ یا جنگ اتحاد آگسبورگ نیز خوانده می‌شود.	n
بالاخره هانری هشتم به پیشنهاد یکی از مشاورانش و به تقلید از لرترین های آلمان اعلام کرد که کشورش از حوزه نفوذ کلیسای کاتولیک خارج می شود. به این ترتیب انگلیس تنها کشور اروپایی بود که پادشاه آن بر دو حوزه سیاست و دیانت سلطه واحد داشت و دارد. 	تنها کشور اروپایی که پادشاه آن بر دو حوزه سیاست و دیانت احاطه داشت کشور انگلیس و در زمان هانری هشتم بود.	e
بالاخره هانری هشتم به پیشنهاد یکی از مشاورانش و به تقلید از لرترین های آلمان اعلام کرد که کشورش از حوزه نفوذ کلیسای کاتولیک خارج می شود. به این ترتیب انگلیس تنها کشور اروپایی بود که پادشاه آن بر دو حوزه سیاست و دیانت سلطه واحد داشت و دارد. 	آلمان تنها کشور اروپایی بود که پادشاه آن فلیپ دوم بر دو بخش دیانت و سیاست تسلط داشت. 	c
بالاخره هانری هشتم به پیشنهاد یکی از مشاورانش و به تقلید از لرترین های آلمان اعلام کرد که کشورش از حوزه نفوذ کلیسای کاتولیک خارج می شود. به این ترتیب انگلیس تنها کشور اروپایی بود که پادشاه آن بر دو حوزه سیاست و دیانت سلطه واحد داشت و دارد. 	هانری هشتم خود را با کلمنت هفتم پاپ و کلیسای کاتولیک روم درگیر کرد و کلیسای انگلستان را مستقل کرد.	n
بر اساس اصل ۹۹ قانون اساسی، شورای نگهبان نظارت استصوابی بر انتخابات مجلس خبرگان رهبری، ریاست جمهوری، مجلس شورای اسلامی و مراجعه به آرای عمومی و همه‌پرسی را بر عهده دارد.	در انتخابات مجلس شورای اسلامی، نظارت استصوابی از سوی شورای نگهبان اعمال می شود.	e
بر اساس اصل ۹۹ قانون اساسی، شورای نگهبان نظارت استصوابی بر انتخابات مجلس خبرگان رهبری، ریاست جمهوری، مجلس شورای اسلامی و مراجعه به آرای عمومی و همه‌پرسی را بر عهده دارد.	نظارت استصوابی، نوعی نظارت درون‌گراست که همراه با رأی نهایی است و از اتلاف وقت و امکانات جلوگیری می‌کند.	n
اگر چه جنگ های مذهبی و سرکوب کالونیست ها، پس از ترور هانری چهارم و سلطنت فرزندش لوئی سیزدهم و صدراعظم وی کاردینال ریشیلیو و حتی در عصر لوئی چهاردهم ادامه یافت و لوئی چهاردهم این فرمان را لغو کرد، اما هانری چهارم نخستین پادشاه بود که اصل تساهل دینی را در اروپا به اجرا گذاشت.	نخستین پادشاه دینی که اصل تساهل دینی را در اروپا محقق کرد هانری چهارم بود.	e
اگر چه جنگ های مذهبی و سرکوب کالونیست ها، پس از ترور هانری چهارم و سلطنت فرزندش لوئی سیزدهم و صدراعظم وی کاردینال ریشیلیو و حتی در عصر لوئی چهاردهم ادامه یافت و لوئی چهاردهم این فرمان را لغو کرد، اما هانری چهارم نخستین پادشاه بود که اصل تساهل دینی را در اروپا به اجرا گذاشت.	لوئی چهاردهم اولین پادشاهی بود که اصل تساهل دینی را در اروپا اجرا کرد.	c
اگر چه جنگ های مذهبی و سرکوب کالونیست ها، پس از ترور هانری چهارم و سلطنت فرزندش لوئی سیزدهم و صدراعظم وی کاردینال ریشیلیو و حتی در عصر لوئی چهاردهم ادامه یافت و لوئی چهاردهم این فرمان را لغو کرد، اما هانری چهارم نخستین پادشاه بود که اصل تساهل دینی را در اروپا به اجرا گذاشت.	تساهل و تسامح دینی، در اندیشه سیاسی غرب برای نخستین بار در قرن شانزدهم، پدید آمد.	n
سازمان ثبت اسناد و املاک کشور یکی از سازمان‌های زیر مجموعه قوه قضائیه ایران است. رئیس این سازمان، معاون قوه قضائیه است و از سوی رئیس قوه قضائیه تعیین می‌شود.	رئیس سازمان ثبت اسناد و املاک کشور معاون قوه قضائیه است و توسط رئیس قوه قضائیه منصوب می‌شود.	e
سازمان ثبت اسناد و املاک کشور یکی از سازمان‌های زیر مجموعه قوه قضائیه ایران است. رئیس این سازمان، معاون قوه قضائیه است و از سوی رئیس قوه قضائیه تعیین می‌شود.	رئیس قوه مقننه موظف است رئیس سازمان ثبت اسناد و املاک کشور را منصوب کند.	c
فرانسوای نخستین پادشاه مسیحی بود که با عثمانی رابطه برقرار کرد. فرانسویان صنعتگری که به عثمانی رفتند از حق قضاوت کنسولی برخوردار شدند و به این ترتیب پدیده شوم کاپیتولاسیون ابتدا توسط فرانسه و در عثمانی پدیدار شد.	اولین پادشاه مسیحی که با عثمانی رابطه برقرار کرد و صنعتگران آن از حق قضاوت کنسولی بهره‌مند شدند، فرانسوای بود.	e
فرانسوای نخستین پادشاه مسیحی بود که با عثمانی رابطه برقرار کرد. فرانسویان صنعتگری که به عثمانی رفتند از حق قضاوت کنسولی برخوردار شدند و به این ترتیب پدیده شوم کاپیتولاسیون ابتدا توسط فرانسه و در عثمانی پدیدار شد.	ارتباط نخستین پادشاه مسیحی به نام هنری با عثمانی سبب شد فرانسویان صنعتگری که به آنجا میرفتند، حق قضاوت کنسولی داشته باشند. 	c
فرانسوای نخستین پادشاه مسیحی بود که با عثمانی رابطه برقرار کرد. فرانسویان صنعتگری که به عثمانی رفتند از حق قضاوت کنسولی برخوردار شدند و به این ترتیب پدیده شوم کاپیتولاسیون ابتدا توسط فرانسه و در عثمانی پدیدار شد.	شماری منشأ کاپیتولاسیون را سال ۱۵۳۵ میلادی زمان توافق فرانسوای پادشاه فرانسه با پادشاه عثمانی سلیمان پاشا می‌دانند.	n
شاه لیر یا لیرشاه، نمایش‌نامه‌ای تراژیک اثر ویلیام شکسپیر است که آن را یکی از بزرگ‌ترین و ارزنده‌ترین تراژدی‌های وی می‌دانند.	نمایشنامه شاه لیر اثر ویلیام شکسپیر می باشد.	e
شاه لیر یا لیرشاه، نمایش‌نامه‌ای تراژیک اثر ویلیام شکسپیر است که آن را یکی از بزرگ‌ترین و ارزنده‌ترین تراژدی‌های وی می‌دانند.	ویکتور هوگو، نویسنده نمایشنامه شاه لیر است.	c
شاه لیر یا لیرشاه، نمایش‌نامه‌ای تراژیک اثر ویلیام شکسپیر است که آن را یکی از بزرگ‌ترین و ارزنده‌ترین تراژدی‌های وی می‌دانند.	شکسپیر شاه لیر را ابه احتمال زیاد در ۱۶۰۵ نوشته‌است.	n
از دیدگاه امام راحل دفاع در قطعنامه ۵۹۸ را می توان به دو استراتژی نوع دائمی و غیردائمی تقسیم کرد: استراتژی «دائمی» یا «کلی»، که حفظ اسلام و مصالح مسلمین است، و استراتژی «غیر‌دائمی» یا «موسمی» که اتخاذ شیوه دفاع در جهت حفظ اسلام است.	استراتژی دائمی و کلی امام خمینی در دفاع و پذیرش ۵۹۸ حفظ اسلام و مصالح مسلمین بود	e
از دیدگاه امام راحل دفاع در قطعنامه ۵۹۸ را می توان به دو استراتژی نوع دائمی و غیردائمی تقسیم کرد: استراتژی «دائمی» یا «کلی»، که حفظ اسلام و مصالح مسلمین است، و استراتژی «غیر‌دائمی» یا «موسمی» که اتخاذ شیوه دفاع در جهت حفظ اسلام است.	از نظر امام خمینی، استراتژی دائمی و کلی ، شیوه دفاع در جهت حفظ اسلام است	c
از دیدگاه امام راحل دفاع در قطعنامه ۵۹۸ را می توان به دو استراتژی نوع دائمی و غیردائمی تقسیم کرد: استراتژی «دائمی» یا «کلی»، که حفظ اسلام و مصالح مسلمین است، و استراتژی «غیر‌دائمی» یا «موسمی» که اتخاذ شیوه دفاع در جهت حفظ اسلام است.	استراتژی غیر‌دائمی، یعنی اگر دشمن با ابزار نظامی به جنگ ما می آید، لزوماً ما هم باید با ابزار و ادوات نظامی دفاع کنیم	n
دکتر ولایتی، وزیر خارجه وقت ایران، نیز عدم مشورت با ایران در مورد تصویب قطعنامه ٥٩٨ و عدم اعلام عراق به عنوان متجاوز و آغازگر جنگ را از دلایل عدم پذیرش قطعنامه ذکر کرد و آنرا نشان دهنده خط مشی غیرعادلانه و یک طرفه شورای امنیت دانست و جناب رفسنجانی از شورای امنیت خواست اول متجاوز معرفی، و بعد راه حل مسائل جدی هموار شود. 	جمهوری اسلامی ایران ضمن غیر‌عادلانه خواندن قطعنامه ۵۹۸ خواستار معرفی عراق به عنوان متجاوز از شورای امنیت گردید	e
دکتر ولایتی، وزیر خارجه وقت ایران، نیز عدم مشورت با ایران در مورد تصویب قطعنامه ٥٩٨ و عدم اعلام عراق به عنوان متجاوز و آغازگر جنگ را از دلایل عدم پذیرش قطعنامه ذکر کرد و آنرا نشان دهنده خط مشی غیرعادلانه و یک طرفه شورای امنیت دانست و جناب رفسنجانی از شورای امنیت خواست اول متجاوز معرفی، و بعد راه حل مسائل جدی هموار شود. 	ولایتی تصریح کرد که ما دلیلی نمی بینیم قطعنامه ۵۹۸ را که برای تحمیل عقاید، ناعادلانه و غیرمنصفانه است، بپذیریم.	n
از نتایج عملیات والفجر۸، تصرف شهر بندری فاو بود و بازتاب آنچنان بود که چند روز پس از آن، شورای امنیت به درخواست عراق و گروه اتحادیه عرب تشکیل جلسه داد. بعد از جلسات قطعنامه ۵۸۲ که در اصل توسط گروه اتحادیه عرب پیشنهاد شده بود در جلسه شورا به اتفاق‌آرا تصویب شد. 	طرح قطعنامه ۵۸۲ در پی رخداد عملیات تصرف شهر بندری فاو و توسط گروه اتحادیه عرب پیشنهاد گردید. 	e
از نتایج عملیات والفجر۸، تصرف شهر بندری فاو بود و بازتاب آنچنان بود که چند روز پس از آن، شورای امنیت به درخواست عراق و گروه اتحادیه عرب تشکیل جلسه داد. بعد از جلسات قطعنامه ۵۸۲ که در اصل توسط گروه اتحادیه عرب پیشنهاد شده بود در جلسه شورا به اتفاق‌آرا تصویب شد. 	بعد از تصرف شهر بندری فاو در عملیات والفجر۸، با درخواست سازمان ملل قطعنامه ۵۸۲ به تصویب رسید	c
از نتایج عملیات والفجر۸، تصرف شهر بندری فاو بود و بازتاب آنچنان بود که چند روز پس از آن، شورای امنیت به درخواست عراق و گروه اتحادیه عرب تشکیل جلسه داد. بعد از جلسات قطعنامه ۵۸۲ که در اصل توسط گروه اتحادیه عرب پیشنهاد شده بود در جلسه شورا به اتفاق‌آرا تصویب شد. 	عملیات والفجر ۸ در تاریخ ۲۰/۱۱/۶۴ در منطقه فاو آغاز شد.	n
در عملیات والفجر۲ در منطقه عملیاتی حاج عمران بمنظور خارج کردن شهرهای کردنشین ایران از زیر آتش دشمن و آزادسازی ارتفاعات مهم منطقه و مسدود کردن راه ضد انقلاب و تصرف پادگان حاج عمران بوده است. در این عملیات علاوه بر پادگان حاج عمران و تنگه دربند و تنگه چومان مصطفی، منطقه ای به وسعت ٢٠٠ کیلومتر مربع از چنگ دشمن آزاد شد. از طرفی نتایج عملیات والفجر۱ آزادسازی چندین ارتفاعات و روستا در حاشیه رودخانه دویرج بوده است.	یکی از اهداف عملیات والفجر۲ مسدود کردن راه ضد‌انقلاب بود	e
در عملیات والفجر۲ در منطقه عملیاتی حاج عمران بمنظور خارج کردن شهرهای کردنشین ایران از زیر آتش دشمن و آزادسازی ارتفاعات مهم منطقه و مسدود کردن راه ضد انقلاب و تصرف پادگان حاج عمران بوده است. در این عملیات علاوه بر پادگان حاج عمران و تنگه دربند و تنگه چومان مصطفی، منطقه ای به وسعت ٢٠٠ کیلومتر مربع از چنگ دشمن آزاد شد. از طرفی نتایج عملیات والفجر۱ آزادسازی چندین ارتفاعات و روستا در حاشیه رودخانه دویرج بوده است.	مسدود کردن راه ضد انقلاب، از نتایج عملیات والفجر۱ است	c
در عملیات والفجر۲ در منطقه عملیاتی حاج عمران بمنظور خارج کردن شهرهای کردنشین ایران از زیر آتش دشمن و آزادسازی ارتفاعات مهم منطقه و مسدود کردن راه ضد انقلاب و تصرف پادگان حاج عمران بوده است. در این عملیات علاوه بر پادگان حاج عمران و تنگه دربند و تنگه چومان مصطفی، منطقه ای به وسعت ٢٠٠ کیلومتر مربع از چنگ دشمن آزاد شد. از طرفی نتایج عملیات والفجر۱ آزادسازی چندین ارتفاعات و روستا در حاشیه رودخانه دویرج بوده است.	عملیات والفجر۱ در منطقه عملیاتی شمال غرب فکه انجام شد	n
هجوم سراسری ارتش رژیم عراق به خاک جمهوری اسلامی ایران و اشغال مناطق مرزی و تثبیت مواضع و تغییر ساختارهای شهری، این باور را در اذهان جهانی پرورش داد که خروج عراق جز با تصمیم جدی مجامع بین‌المللی و امتیازگیری سنگین رژیم عراق از جمهوی اسلامی ایران ممکن نخواهد بود. از آن طرف در ایران بویژه در نظر امام راحل امید بستن به دیگران امری بیهوده به حساب می آمد و نیز تکیه بر مؤلفه‌های خودی در خروج دشمن و تنبیه متجاوز تصمیم قطعی امام خمینی شده بود.	در اندیشه امام خمینی امید بستن به دیگران به عنوان کاری بیهوده در برابر هجوم سراسری ارتش عراق به حساب می‌آمد	e
هجوم سراسری ارتش رژیم عراق به خاک جمهوری اسلامی ایران و اشغال مناطق مرزی و تثبیت مواضع و تغییر ساختارهای شهری، این باور را در اذهان جهانی پرورش داد که خروج عراق جز با تصمیم جدی مجامع بین‌المللی و امتیازگیری سنگین رژیم عراق از جمهوی اسلامی ایران ممکن نخواهد بود. از آن طرف در ایران بویژه در نظر امام راحل امید بستن به دیگران امری بیهوده به حساب می آمد و نیز تکیه بر مؤلفه‌های خودی در خروج دشمن و تنبیه متجاوز تصمیم قطعی امام خمینی شده بود.	از نظر امام خمینی، امید داشتن به افرادی خودی در برابر حمله سراسری دشمن، کاری بیهوده است. 	c
هجوم سراسری ارتش رژیم عراق به خاک جمهوری اسلامی ایران و اشغال مناطق مرزی و تثبیت مواضع و تغییر ساختارهای شهری، این باور را در اذهان جهانی پرورش داد که خروج عراق جز با تصمیم جدی مجامع بین‌المللی و امتیازگیری سنگین رژیم عراق از جمهوی اسلامی ایران ممکن نخواهد بود. از آن طرف در ایران بویژه در نظر امام راحل امید بستن به دیگران امری بیهوده به حساب می آمد و نیز تکیه بر مؤلفه‌های خودی در خروج دشمن و تنبیه متجاوز تصمیم قطعی امام خمینی شده بود.	یکی از مهمترین عوامل افزایش توان دفاعی نیروهای مسلح و آحاد ملت برای مقابله با دشمن، فرماندهی امام با حذف بنی‌صدر بود. 	n
زحمات بی وقفه «نیروهای جهاد سازندگی» این سنگرسازان بی سنگر، در دفاع مقدسمان از جمله مسائلی است که ترسیم آن در قالب الفاظ نمی گنجد.	سنگرسازان بی‌سنگر لقب نیروهای جهاد سازندگی بود.	e
زحمات بی وقفه «نیروهای جهاد سازندگی» این سنگرسازان بی سنگر، در دفاع مقدسمان از جمله مسائلی است که ترسیم آن در قالب الفاظ نمی گنجد.	سنگرسازان بی‌سنگر ، صفت و تخلص نیروهای امدادگر در دفاع مقدس بود. 	c
زحمات بی وقفه «نیروهای جهاد سازندگی» این سنگرسازان بی سنگر، در دفاع مقدسمان از جمله مسائلی است که ترسیم آن در قالب الفاظ نمی گنجد.	عشق «جهاد» درخدمت به اسلام و مردم چشم دل عشاق خدمت به دین و مردم را روشن نموده است.	n
توان دفاعی کشور در حدی نبوده است که بتواند با هجوم سراسری کشور مقابله کند، و این واقعیتی بود که از چشم محافل بین المللی و منطقه ای به دور نماند و تماماً چهره نامطلوبی از وضعیت نظامی و دفاعی ایران ترسیم می‌کردند و نیز تصمیم گیرندگان حمله عراق به ایران، ضعف بنیه دفاعی کشور ایران را به نقطه امید صدام برای حمله و پیروزی سه روزه مبدّل کرده بود.	ضعف بنیه‌ی دفاعی ایران، نقطه امید صدام برای حمله به ایران و پیروزی سه روزه بر ایران بود	e
توان دفاعی کشور در حدی نبوده است که بتواند با هجوم سراسری کشور مقابله کند، و این واقعیتی بود که از چشم محافل بین المللی و منطقه ای به دور نماند و تماماً چهره نامطلوبی از وضعیت نظامی و دفاعی ایران ترسیم می‌کردند و نیز تصمیم گیرندگان حمله عراق به ایران، ضعف بنیه دفاعی کشور ایران را به نقطه امید صدام برای حمله و پیروزی سه روزه مبدّل کرده بود.	روحیه مردم ایران در حدی ضعیف بود که به نقطه امید صدام برای فتح چند روزه ایران تبدیل شده بود.	c
توان دفاعی کشور در حدی نبوده است که بتواند با هجوم سراسری کشور مقابله کند، و این واقعیتی بود که از چشم محافل بین المللی و منطقه ای به دور نماند و تماماً چهره نامطلوبی از وضعیت نظامی و دفاعی ایران ترسیم می‌کردند و نیز تصمیم گیرندگان حمله عراق به ایران، ضعف بنیه دفاعی کشور ایران را به نقطه امید صدام برای حمله و پیروزی سه روزه مبدّل کرده بود.	طارق عزیز وزیر امور خارجه عراق: امروز ارتش ایران از هم پاشیده شده است.	n
امریکا با اشغال سفارت خود در ایران عملاً خود را در محاصره غافلگیرانه انقلاب اسلامی دید و با وجود فشارهای سیاسی و تبلیغات گسترده جهانی نتوانست از این محاصره خارج شود، تا اینکه به عملیات طبس در پنجم اردیبهشت ماه سال ١٣٥٩ جهت آزادی گروگانهای خود دست می زد که با شکست مواجه می شود.	آمریکا در پی اشغال سفارت خود در ایران برای خروج از این محاصره دست به عملیات طبس زد.	e
امریکا با اشغال سفارت خود در ایران عملاً خود را در محاصره غافلگیرانه انقلاب اسلامی دید و با وجود فشارهای سیاسی و تبلیغات گسترده جهانی نتوانست از این محاصره خارج شود، تا اینکه به عملیات طبس در پنجم اردیبهشت ماه سال ١٣٥٩ جهت آزادی گروگانهای خود دست می زد که با شکست مواجه می شود.	به دنبال اشغال سفارت امریکا در ایران، آمریکا برای مقابله با آن، کودتای نوژه راه انداخت. 	c
امریکا با اشغال سفارت خود در ایران عملاً خود را در محاصره غافلگیرانه انقلاب اسلامی دید و با وجود فشارهای سیاسی و تبلیغات گسترده جهانی نتوانست از این محاصره خارج شود، تا اینکه به عملیات طبس در پنجم اردیبهشت ماه سال ١٣٥٩ جهت آزادی گروگانهای خود دست می زد که با شکست مواجه می شود.	امریکا پس از ناکامی در عملیات طبس، به منظور تحت فشار قرار گرفتن ایران کودتای نوژه را دامن می زند.	n
اُتِلو یا اُتِللو یا تراژدی اُتِلو مغربی ونیز عنوان نمایش‌نامه‌ای عاشقانه و تراژیک اثر ویلیام شکسپیر است و در این نمایش‌نامه شکسپیر به مضمون خیانت در عشق می‌پردازد.	موضوع نمایش‌نامه اتللو از شکسپیر عشق و خیانت است.	e
اُتِلو یا اُتِللو یا تراژدی اُتِلو مغربی ونیز عنوان نمایش‌نامه‌ای عاشقانه و تراژیک اثر ویلیام شکسپیر است و در این نمایش‌نامه شکسپیر به مضمون خیانت در عشق می‌پردازد.	ارزش خانواده، موضوع نمایش‌نامه اتللوی شکسپیر می باشد.	c
اُتِلو یا اُتِللو یا تراژدی اُتِلو مغربی ونیز عنوان نمایش‌نامه‌ای عاشقانه و تراژیک اثر ویلیام شکسپیر است و در این نمایش‌نامه شکسپیر به مضمون خیانت در عشق می‌پردازد.	اتلو در بسیاری از مجامع حرفه‌ایِ تئاتر جهان محبوبیت دارد.	n
دخترعمو بت، رمانی اثر نویسنده فرانسوی انوره دو بالزاک و ترجمه محمود اعتماد زاده است که در سال ۱۸۴۶ منتشر شد.	"مترجم کتاب ""دخترعمو بت""، محمود اعتماد زاده می باشد."	e
دخترعمو بت، رمانی اثر نویسنده فرانسوی انوره دو بالزاک و ترجمه محمود اعتماد زاده است که در سال ۱۸۴۶ منتشر شد.	"ذبیح الله منصوری مترجم کتاب ""دخترعمو بت"" است."	c
دخترعمو بت، رمانی اثر نویسنده فرانسوی انوره دو بالزاک و ترجمه محمود اعتماد زاده است که در سال ۱۸۴۶ منتشر شد.	اعتماد زاده در عرصهٔ نمایشنامه نویسی هم قلم آزمود.	n
روزنامه‌نگاری از نخستین عرصه‌های فعالیت ادبی محمود اعتمادزاده بود. نخستین نشریه‌ای که نوشته‌هائی از او را چاپ کرد مردان کار بود. در آن زمان او هنوز افسر نیروی دریائی بود و از آنجا که کارکنان ارتش به کلی ممنوع‌القلم بودند، ناگزیر نوشته‌هایش را به نام‌های مستعار به دست چاپ می‌سپرد. نام «م.ا. به‌آذین» را در نشریهٔ مردان کار برای خود برگزید، و محمود اعتمادزاده بیش از شش‌دهه به این نام شناخته و خطاب شد.	"نام مستعار(تخلص) محمود اعتماد زاده ""م.ا. به‌آذین"" می باشد."	e
روزنامه‌نگاری از نخستین عرصه‌های فعالیت ادبی محمود اعتمادزاده بود. نخستین نشریه‌ای که نوشته‌هائی از او را چاپ کرد مردان کار بود. در آن زمان او هنوز افسر نیروی دریائی بود و از آنجا که کارکنان ارتش به کلی ممنوع‌القلم بودند، ناگزیر نوشته‌هایش را به نام‌های مستعار به دست چاپ می‌سپرد. نام «م.ا. به‌آذین» را در نشریهٔ مردان کار برای خود برگزید، و محمود اعتمادزاده بیش از شش‌دهه به این نام شناخته و خطاب شد.	"نام مستعار(تخلص) ""م.ا. به‌آذین"" متعلق به مرتضی کیوان است."	c
روزنامه‌نگاری از نخستین عرصه‌های فعالیت ادبی محمود اعتمادزاده بود. نخستین نشریه‌ای که نوشته‌هائی از او را چاپ کرد مردان کار بود. در آن زمان او هنوز افسر نیروی دریائی بود و از آنجا که کارکنان ارتش به کلی ممنوع‌القلم بودند، ناگزیر نوشته‌هایش را به نام‌های مستعار به دست چاپ می‌سپرد. نام «م.ا. به‌آذین» را در نشریهٔ مردان کار برای خود برگزید، و محمود اعتمادزاده بیش از شش‌دهه به این نام شناخته و خطاب شد.	محمود اعتمادزاده با روزنامهٔ داریای حسن ارسنجانی نیز همکاری قلمی داشت.	n
اصطلاح «جهان‌پهلوان» در اشاره به غلامرضا تختی ابتدا توسط سیاوش کسرائی در قصیده‌ای از او به نام جهان‌پهلوان بکار برده شد و این لقب روی تختی ماند.	"لقب ""جهان پهلوان"" نخستین بار توسط ""سیاوش کسرایی"" برای غلامرضا تختی به کار رفت."	e
اصطلاح «جهان‌پهلوان» در اشاره به غلامرضا تختی ابتدا توسط سیاوش کسرائی در قصیده‌ای از او به نام جهان‌پهلوان بکار برده شد و این لقب روی تختی ماند.	"اولین بار ""علی حاتمی""، لقب ""جهان پهلوان"" را برای غلامرضا تختی به کار برده است."	c
اصطلاح «جهان‌پهلوان» در اشاره به غلامرضا تختی ابتدا توسط سیاوش کسرائی در قصیده‌ای از او به نام جهان‌پهلوان بکار برده شد و این لقب روی تختی ماند.	سیاوش کسرایی، بر طبق وصیت نامه اش هوشنگ ابتهاج را متولی آثارش کرده‌است.	n
